path,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,entropy_0,asm_0,contrast_45,dissimilarity_45,homogeneity_45,energy_45,correlation_45,entropy_45,asm_45,contrast_90,dissimilarity_90,homogeneity_90,energy_90,correlation_90,entropy_95,asm_90,contrast_135,dissimilarity_135,homogeneity_135,energy_135,correlation_135,entropy_135,asm_135,labels
datasets/ayam\download.jpg,31.723498774510066,1.7801776960784452,0.773438902726161,0.3735234818977377,0.9920651006053822,-81211945.57040867,5.699516020168117e-06,38.42511341791632,1.99201845444061,0.7612248175557219,0.37152063378456895,0.9904129771121759,-81211945.57040867,5.668954983285049e-06,10.253630514705893,0.9784466911764866,0.8255813398344688,0.3800375163229737,0.9974355526200576,-81211945.57040867,5.798912297408657e-06,38.97539407920047,2.009703960015387,0.7599440849839324,0.37146464561806813,0.9902756827016927,-81211945.57040867,5.668100671662417e-06,ayam
datasets/ayam\egg-white-food-protein-162712.jpeg,145.534926470587,4.446231617646981,0.6610801327568039,0.029679690386322267,0.9749038093198693,-68606869.12447198,4.528761350452006e-07,175.22063821607165,5.059407920030819,0.6323269658637883,0.02713369219924138,0.9698549232612179,-68606869.12447198,4.1402728575502596e-07,137.45226715686283,4.396783088235196,0.6689418608205773,0.03107095790981834,0.9763037837647877,-68606869.12447198,4.741051927157339e-07,200.8623913879296,5.442783544790503,0.6285835397272636,0.027061822405572283,0.965443576435792,-68606869.12447198,4.129306397334638e-07,ayam
datasets/ayam\images (1).jpg,58.19928002450945,3.4654871323529517,0.5635276997929154,0.005942900355895268,0.9952135853009751,-41167771.63443227,9.068146295006208e-08,84.79323337177982,4.281307189542513,0.5082348093654524,0.00510342383027496,0.993024202206095,-41167771.63443227,7.787206772270142e-08,58.320266544117366,3.4907628676470455,0.5391651267941473,0.0058258043734305915,0.9951956460341695,-41167771.63443227,8.889472005356738e-08,128.20130718954303,5.351603229527127,0.4623970689964571,0.004995276976988562,0.9894530942969092,-41167771.63443227,7.622187770063113e-08,ayam
datasets/ayam\images.jpg,24.78077512254917,1.7591145833333426,0.6842147388202346,0.008220992038819205,0.991644932275426,-64638627.705000035,1.2544238340483406e-07,35.76024605920808,2.3552172241445675,0.605652822589015,0.006349473666783884,0.9879823854266736,-64638627.705000035,9.68852793393537e-08,10.984941789215735,1.2832261029411838,0.7295000774269254,0.008917541621236424,0.9963019440358967,-64638627.705000035,1.3607088655451087e-07,32.50700499807769,2.209365628604387,0.6326407823102548,0.006676834583333149,0.9890756440697268,-64638627.705000035,1.018804105122856e-07,ayam
datasets/ayam\IMG_20220818_154051.jpg,261.3481617647037,6.9910232843131626,0.4088579849948626,0.0007067115487432717,0.9754556601907578,-35205615.73087003,1.078356245030627e-08,461.9321799307919,10.249934640522811,0.32043302283317066,0.00048007123513403376,0.9566811171872158,-35205615.73087003,7.32530571188406e-09,401.36868872549036,9.455759803920381,0.33278531437222214,0.000516221201543577,0.9623082764322081,-35205615.73087003,7.876910423943742e-09,458.21685505574504,10.177670126874258,0.33050168962573806,0.0005007018712378244,0.9570295454318678,-35205615.73087003,7.640104236416998e-09,ayam
datasets/ayam\IMG_20220818_160129.jpg,40.91171874999952,3.1028952205881484,0.4957365367639978,0.001785604498194805,0.9957951694175675,-26435981.72605469,2.724616238700569e-08,116.28387543252568,5.542252979623319,0.370875575490342,0.0010419041799349348,0.9880830137755279,-26435981.72605469,1.5898196104964214e-08,87.93465073529423,4.865839460783828,0.38546971218827186,0.0010885512173427893,0.9909737074246632,-26435981.72605469,1.6609973409161213e-08,107.46722029988396,5.4045982314495955,0.37501644658672195,0.0010099212129839159,0.9889865100849085,-26435981.72605469,1.541017475866571e-08,ayam
datasets/ayam\istockphoto-104103608-612x612 (1).jpg,58.896553308823336,2.0499540441176585,0.7550469517956984,0.33262062292747985,0.9887648095093444,-78046637.67177887,5.075387923087766e-06,83.16119953863925,2.562322183775482,0.7331748076335276,0.32695106253310136,0.984168398692236,-78046637.67177887,4.9888772969528405e-06,40.367708333333354,1.7893075980392341,0.7609673450751315,0.3353810873475271,0.9922994780943414,-78046637.67177887,5.117509267387803e-06,73.91635524798177,2.45181084198386,0.7328788348044432,0.32714783232604605,0.9859283680580633,-78046637.67177887,4.991879765717255e-06,ayam
datasets/ayam\istockphoto-119094646-612x612.jpg,145.04093137254853,1.948284313725492,0.8483496184349444,0.6132161664834439,0.9799258123522676,-81640348.06382485,9.356936134085753e-06,168.27737024221472,2.071664744329121,0.8509908419591863,0.6100122707366714,0.9767817045991402,-81640348.06382485,9.30804856470751e-06,66.83025428921546,1.0903952205882461,0.901748286435522,0.6151167321415966,0.9907504466828494,-81640348.06382485,9.385936464562936e-06,187.05554786620556,2.3081122645136705,0.8416398372261906,0.6099132641883072,0.9741907977686932,-81640348.06382485,9.306537844670214e-06,ayam
datasets/ayam\istockphoto-119390768-612x612.jpg,63.20689338235247,2.4141237745097897,0.6828805114687252,0.22949850619916315,0.991851375718092,-72887675.201912,3.501869296251879e-06,76.06668204536787,3.018193002691286,0.6453080665267714,0.22498754032585283,0.9902083891555192,-72887675.201912,3.433037419522901e-06,34.017922794117815,2.086488970588268,0.692738452194257,0.2295572057809797,0.9956144139212255,-72887675.201912,3.502764980788875e-06,94.05573241061167,3.0821376393694915,0.6603696976980962,0.22470476463300945,0.9878927658641921,-72887675.201912,3.4287226048738014e-06,ayam
datasets/ayam\istockphoto-1299787001-612x612.jpg,201.75643382352723,4.509099264705756,0.6233905199525548,0.0647329913721961,0.9820684185024116,-68629027.64642707,9.877470607329727e-07,266.8781391772355,5.259038831218854,0.6029286093052157,0.062010039672139826,0.9763154095064017,-68629027.64642707,9.461981151144383e-07,104.8505821078423,3.2761029411764215,0.6640808661322007,0.06646489091672973,0.9906817069514033,-68629027.64642707,1.0141737505604512e-06,267.8244059976904,5.404413687043538,0.5902078505886661,0.06210201695411564,0.9762314198514817,-68629027.64642707,9.476015770586492e-07,ayam
